regiao,eixo,categoria,n,evadidos,taxa_evasao_pct,taxa_evasao_geral_regiao_pct,excesso_pp,n_min_ok
14ª Região - PB,ESPEC,02,2621,532,20.3,52.0,-31.7,True
14ª Região - PB,ESPEC,03,2608,1352,51.8,52.0,-0.2,True
14ª Região - PB,ESPEC,04,7,7,100.0,52.0,48.0,False
14ª Região - PB,ESPEC,05,151,151,100.0,52.0,48.0,True
14ª Região - PB,ESPEC,06,7,7,100.0,52.0,48.0,False
14ª Região - PB,ESPEC,07,1032,464,45.0,52.0,-7.0,True
14ª Região - PB,ESPEC,09,31,31,100.0,52.0,48.0,True
14ª Região - PB,ESPEC,10,8,8,100.0,52.0,48.0,False
14ª Região - PB,ESPEC,87,1,1,100.0,52.0,48.0,False
15ª Região - PB,ESPEC,01,3324,3173,95.5,71.6,23.9,True
15ª Região - PB,ESPEC,02,1761,1101,62.5,71.6,-9.0,True
15ª Região - PB,ESPEC,03,2732,1395,51.1,71.6,-20.5,True
15ª Região - PB,ESPEC,05,312,312,100.0,71.6,28.4,True
15ª Região - PB,ESPEC,06,1,1,100.0,71.6,28.4,False
15ª Região - PB,ESPEC,07,1275,709,55.6,71.6,-15.9,True
15ª Região - PB,ESPEC,09,3,3,100.0,71.6,28.4,False
